benchmark	family	bucket	category	n	mean_projection	sd_projection
math500	mistral	p03	trace_rescue	4	-2.765123894819859	19.372996007539694
math500	mistral	p03	persistent_fail	31	-28.03521223583205	14.222894218761907
math500	mistral	p04-05	preserve	18	-1.698262725010586	18.588507433236998
math500	mistral	p04-05	trace_rescue	8	-15.14756076616552	23.97837588292372
math500	mistral	p04-05	persistent_fail	50	-32.98901320413871	14.055444950058474
math500	mistral	p06-10	preserve	5	4.5602569046293056	15.646423786410413
math500	mistral	p06-10	trace_rescue	3	-37.68139621797915	6.151382494569531
math500	mistral	p06-10	trace_damage	1	-13.846717455726717	0.0
math500	mistral	p06-10	persistent_fail	28	-38.03247980681378	13.752985416528894
math500	olmo	p01	preserve	7	12.708361606330202	7.8435366271016465
math500	olmo	p01	trace_rescue	6	10.994939035493962	8.065839960842162
math500	olmo	p01	persistent_fail	31	-3.938208337643374	10.041476966301444
math500	olmo	p02	preserve	7	13.90198685603841	6.226828369291004
math500	olmo	p02	trace_rescue	8	12.404730232758705	3.8224251563931873
math500	olmo	p02	persistent_fail	29	-2.063508327038898	8.05822007548718
math500	olmo	p03	preserve	5	17.10474737968971	5.045862576563673
math500	olmo	p03	trace_rescue	8	13.149590258572752	12.663517837051543
math500	olmo	p03	persistent_fail	27	-0.4320202581663748	9.655628904366642
math500	olmo	p04-05	preserve	5	13.787684110184165	5.674125415099154
math500	olmo	p04-05	trace_rescue	15	16.16959831262161	10.66630749507332
math500	olmo	p04-05	persistent_fail	39	0.5101667854425656	10.999499407025814
math500	olmo	p06-10	preserve	1	22.491496460971938	0.0
math500	olmo	p06-10	trace_rescue	2	6.746685624058358	6.647218336078931
math500	olmo	p06-10	persistent_fail	29	-1.620955774400443	9.130776196373775
math500	qwen	p01	preserve	11	-9.087634287402425	15.952246836499674
math500	qwen	p01	trace_damage	4	-19.285014769878398	9.798147593534619
math500	qwen	p01	persistent_fail	1	-13.967385018151136	0.0
math500	qwen	p02	preserve	16	0.03572891176962434	14.49183400796123
math500	qwen	p02	trace_rescue	1	-8.168578927077004	0.0
math500	qwen	p02	trace_damage	2	-28.442673974451864	3.926755996977717
